d1_or_not,primary_position,height,weight,sixty_time,c_velo,pop_time,player_region,exit_velo_max,throwing_hand,hitting_handedness
0,C,74.0,185.0,7.7,76.0,2.1,Midwest,92.4,R,R
0,C,71.0,145.0,7.65,71.0,2.2,Midwest,83.0,R,R
0,C,71.0,168.0,7.83,70.0,2.3,South,82.5,R,R
0,C,70.0,195.0,7.58,72.0,2.2,Midwest,91.3,R,R
0,C,68.0,177.0,7.09,75.0,2.1,Midwest,96.7,R,R
1,C,70.0,209.0,7.48,76.0,1.9,South,99.6,R,L
0,C,70.0,175.0,7.38,81.0,2.0,South,88.0,R,R
0,C,70.0,190.0,7.5325164794921875,78.0,2.1,Midwest,88.0,R,R
0,C,74.0,175.0,7.81,69.0,2.3,Northeast,85.1,R,R
0,C,74.0,152.0,8.09,73.0,2.1,West,89.0,R,R
0,C,68.0,160.0,7.0,73.0,2.0,Northeast,89.4,R,R
0,C,75.0,193.0,7.01,83.0,1.9,West,94.9,R,R
0,C,73.0,205.0,7.2,79.0,1.9,South,94.6,L,R
0,C,72.0,190.0,7.34,73.0,2.0,South,89.85281372070312,R,S
0,C,72.0,195.0,7.32,75.0,2.1,Midwest,88.6,R,R
0,C,71.0,185.0,7.18,78.0,2.0,South,90.0,R,R
1,C,74.0,185.0,7.14,76.0,2.0,Midwest,94.8,R,R
0,C,72.0,180.0,7.89,74.0,2.0,South,91.9,R,R
0,C,72.0,225.0,7.7,77.0,2.0,South,102.2,R,R
0,C,75.0,195.0,7.74,73.0,2.0,Midwest,89.6,R,R
0,C,68.0,160.0,8.26,66.0,2.2,Northeast,85.7,R,R
0,C,74.0,238.3,7.28,76.0,2.0,Northeast,95.5,R,R
0,C,73.0,197.0,7.28,73.0,2.1,Midwest,97.9,R,R
1,C,72.0,195.0,6.63,75.0,2.0,South,99.0,R,R
0,C,71.0,195.0,7.0,75.0,2.0,South,88.0,R,R
0,C,70.0,164.0,7.45,75.0,2.1,Northeast,88.4,R,R
1,C,71.0,170.0,7.19,75.0,2.0,Northeast,89.3,R,L
0,C,67.0,115.0,7.6,73.0,2.1,South,75.0,R,R
0,C,70.0,145.0,7.18,71.0,2.3,Northeast,89.4,R,R
0,C,70.0,186.0,7.1,75.0,2.1,Northeast,92.3,R,R
0,C,70.0,175.0,7.18,79.0,2.1,South,90.0,R,R
1,C,75.0,225.0,6.75,87.0,1.9,Northeast,99.2,R,R
0,C,72.0,170.0,7.57,73.0,2.0,West,79.0,R,R
0,C,70.0,167.0,7.55,72.0,2.2,Midwest,93.5,R,R
1,C,72.0,185.0,7.42,77.0,1.9,South,93.4,R,S
0,C,70.0,165.0,7.56,76.0,1.9,Midwest,90.1,R,R
1,C,72.0,185.0,7.18,73.0,2.0,South,90.6,R,R
0,C,72.0,210.0,6.87,80.0,1.9,Midwest,102.2,R,R
0,C,71.0,175.0,7.31,78.0,2.0,South,90.7,R,R
0,C,70.0,164.9,7.48,75.0,2.0,West,88.6,R,S
1,C,72.0,185.0,7.67,76.0,2.0,West,89.0,R,R
0,C,66.0,175.0,8.1,72.0,2.0,Northeast,92.8,R,R
0,C,67.0,155.6,7.44,69.0,2.3,Northeast,88.4,R,R
0,C,69.0,160.0,7.35,72.0,2.0,West,84.6,R,R
0,C,70.0,175.0,7.33,72.0,2.2,Midwest,94.6,R,R
0,C,71.0,190.0,7.37,75.0,1.9,Northeast,91.4,R,S
0,C,71.0,180.0,7.26,72.0,2.2,Northeast,86.0,R,L
0,C,62.0,104.0,8.97,54.0,3.0,Midwest,62.0,L,L
1,C,69.0,185.0,6.7,80.0,2.0,Northeast,91.6,R,R
0,C,72.0,200.0,7.51,74.0,2.0,South,90.0,R,R
1,C,73.0,197.0,7.39,77.0,1.9,South,99.0,R,R
0,C,71.0,200.0,7.78,78.0,2.0,West,96.4,R,R
0,C,71.0,200.0,7.78,78.0,2.0,West,96.4,R,R
