p4_or_not,primary_position,height,weight,sixty_time,c_velo,pop_time,player_region,exit_velo_max,throwing_hand,hitting_handedness
0,C,70.0,209.0,7.48,76.0,1.9,South,99.6,R,L
0,C,74.0,185.0,7.14,76.0,2.0,Midwest,94.8,R,R
0,C,72.0,195.0,6.63,75.0,2.0,South,99.0,R,R
0,C,71.0,170.0,7.19,75.0,2.0,Northeast,89.3,R,L
0,C,75.0,225.0,6.75,87.0,1.9,Northeast,99.2,R,R
0,C,72.0,185.0,7.42,77.0,1.9,South,93.4,R,S
0,C,72.0,185.0,7.18,73.0,2.0,South,90.6,R,R
0,C,72.0,185.0,7.67,76.0,2.0,West,89.0,R,R
1,C,69.0,185.0,6.7,80.0,2.0,Northeast,91.6,R,R
0,C,73.0,197.0,7.39,77.0,1.9,South,99.0,R,R
0,C,66.0,140.0,7.25,72.0,2.1,Midwest,86.9,R,S
0,C,72.0,165.0,7.69,78.0,2.1,Midwest,88.3,R,R
0,C,72.0,190.0,7.36,77.0,2.0,West,91.0,R,R
0,C,70.0,184.8,7.19,80.0,1.9,South,93.9,R,R
0,C,71.0,165.0,7.41,76.0,2.1,West,90.8,R,R
1,C,69.0,175.0,6.964512348175049,78.0,1.9,South,96.7,R,R
0,C,72.0,215.0,7.5,75.0,2.2,South,96.3,R,R
0,C,73.0,195.0,7.51,78.0,2.0,Midwest,98.2,R,R
0,C,70.0,180.0,6.98,85.0,1.9,Midwest,91.4,R,R
0,C,74.0,150.0,7.46,73.0,2.1,South,85.3,R,R
1,C,70.0,185.0,7.21,77.0,2.0,South,89.6,R,L
0,C,74.0,185.0,7.04,81.0,2.0,Midwest,101.6,R,R
0,C,72.0,200.0,6.71,85.0,1.9,Midwest,101.1,R,R
0,C,73.0,190.0,7.47,77.0,2.0,South,98.2,R,R
0,C,74.0,220.0,6.83,89.0,1.8,South,99.5,R,R
0,C,71.0,185.0,7.63,71.0,2.0,Northeast,99.0,R,R
0,C,75.0,221.0,7.17,79.0,2.0,West,101.4,R,R
1,C,71.0,190.0,7.01,82.0,1.9,West,97.7,R,S
0,C,69.0,181.0,6.83,78.0,1.9,South,94.7,R,R
0,C,73.0,206.8,6.85,82.0,2.0,South,104.1,R,R
0,C,69.0,175.0,8.0,70.0,2.1,Northeast,89.3,R,L
0,C,75.0,232.0,6.75,76.0,2.0,South,102.3,R,R
0,C,74.0,225.0,6.89,81.0,1.9,Midwest,95.8,R,R
1,C,75.0,190.0,7.41,75.0,2.0,West,92.9,R,L
0,C,71.0,182.0,7.34,79.0,1.9,Northeast,93.7,R,R
0,C,72.0,187.4,7.25,79.0,2.0,South,94.4,R,R
0,C,70.0,195.0,7.0481157302856445,76.0,2.0,Northeast,92.4,R,L
0,C,71.0,175.0,7.73,73.0,2.1,West,86.0,R,R
0,C,69.0,180.0,7.02,78.0,2.0,West,98.4,R,R
0,C,72.0,200.0,7.34,79.0,1.9,South,95.7,R,R
1,C,68.0,159.5,7.31,77.0,2.0,Northeast,90.4,R,L
0,C,72.0,165.0,7.71,78.0,2.0,Northeast,87.0,R,R
0,C,70.0,187.0,6.7,84.0,1.9,Midwest,101.2,R,R
1,C,70.0,187.0,6.7,84.0,1.9,Midwest,101.2,R,R
0,C,72.0,205.0,7.151543140411377,78.0,1.9,South,94.0,R,R
1,C,73.0,210.0,7.2,79.0,1.9,South,99.7,R,R
1,C,72.0,190.0,7.12,78.0,1.9,South,94.31838989257812,R,R
0,C,67.0,160.0,7.12,73.0,2.0,South,94.0,R,L
1,C,74.0,205.0,6.69,86.0,1.9,Midwest,103.6,R,R
0,C,73.0,175.0,7.15,77.0,2.0,West,90.2,R,R
0,C,69.0,165.0,8.41,68.0,2.2,Northeast,84.0,R,R
0,C,72.0,175.0,7.01,72.0,2.0,South,92.7,R,R
1,C,73.0,190.0,7.38,79.0,2.0,Midwest,92.2,R,L
1,C,72.0,180.0,7.63,79.0,2.0,Midwest,88.5,R,L
0,C,73.0,198.0,7.47,75.0,2.0,South,92.4,R,R
0,C,74.0,175.0,6.94,80.0,1.9,South,88.5,R,R
0,C,71.0,170.0,7.15,81.0,1.9,South,97.5,R,R
0,C,74.0,190.0,7.16,79.0,1.9,South,93.1,R,R
0,C,72.0,160.0,6.75,77.0,2.0,South,93.6,R,R
0,C,68.0,155.6,7.01,76.0,1.9,Northeast,91.7,R,L
0,C,72.0,185.0,6.99,75.0,1.9,South,92.0,R,R
0,C,69.0,165.0,7.12,73.0,2.0,Northeast,89.8,R,R
0,C,73.0,200.0,6.86,82.0,2.0,Midwest,101.5,R,L
0,C,68.0,182.5,6.97,80.0,2.0,Midwest,101.5,R,L
0,C,71.0,180.0,7.19,80.0,2.0,South,92.0,R,R
0,C,76.0,185.0,7.21,73.0,2.1,West,93.3,R,R
1,C,71.0,185.0,7.04,80.0,2.0,South,98.0,R,R
0,C,73.0,195.0,7.34,79.0,2.0,South,97.6,R,R
0,C,74.0,215.0,7.26,79.0,1.9,South,94.5,R,R
0,C,71.0,190.0,8.0,73.0,2.1,South,88.1,R,L
0,C,73.0,210.0,7.38,76.0,1.9,South,98.0,R,R
0,C,76.0,215.0,7.23,81.0,1.9,South,95.8,R,R
1,C,73.0,226.0,7.61,79.0,2.0,West,101.1,R,L
0,C,73.0,220.0,7.397289752960205,80.0,2.0,South,98.4,R,R
0,C,73.0,193.0,7.4,79.0,2.0,South,95.7,R,R
0,C,72.0,190.9,6.85,81.0,2.0,Northeast,95.0,R,R
1,C,73.0,208.0,7.16,81.0,2.0,Midwest,100.7,R,L
0,C,74.0,220.0,6.91,84.0,1.9,South,103.2,R,R
1,C,71.0,185.0,7.64,73.0,2.3,Midwest,90.0,R,L
1,C,68.0,150.0,7.53,69.0,2.1,South,81.0,R,R
0,C,71.0,190.0,7.87,77.0,2.0,Midwest,92.5,R,R
1,C,70.0,175.0,7.12,79.0,2.1,Midwest,91.1,R,R
0,C,72.0,220.0,6.93,77.0,2.0,South,95.0,R,R
0,C,73.0,155.0,7.71,71.0,2.0,West,87.4,R,R
0,C,74.0,180.0,7.03,78.0,1.9,Midwest,85.3,R,R
0,C,75.0,200.0,6.98,75.0,2.0,West,98.6,R,R
1,C,72.0,185.0,6.7,80.0,1.9,Midwest,96.6,R,R
0,C,70.0,190.0,7.98,78.0,1.9,South,97.0,R,R
0,C,74.0,189.2,7.12,78.0,2.0,Midwest,93.5,R,R
0,C,72.0,194.0,6.8677754402160645,79.0,2.1,South,96.1,R,R
1,C,73.0,180.0,7.65,61.0,2.4,South,86.3,R,L
0,C,73.0,205.0,6.76,84.0,1.9,Midwest,96.4,R,R
0,C,69.0,165.0,7.46,67.0,2.1,South,74.0,R,R
1,C,72.0,185.0,7.67,78.0,2.0,West,77.0,R,L
0,C,72.0,200.0,6.72,82.0,2.0,West,99.9,R,R
0,C,74.0,171.0,6.89,79.0,2.0,South,84.0,R,S
1,C,68.0,152.0,6.98,73.0,2.3,Northeast,84.3,R,R
0,C,71.0,195.0,7.32,73.0,2.2,Northeast,94.5,R,L
0,C,70.0,165.0,7.72,74.0,2.1,Northeast,85.0,R,L
1,C,72.0,200.0,7.02,78.0,1.9,Midwest,100.0,R,L
0,C,73.0,200.0,7.78,78.0,2.1,West,91.2,R,R
0,C,71.0,190.0,7.27,76.0,2.0,West,100.5,R,R
0,C,72.0,210.0,6.63,78.0,2.0,Northeast,98.0,R,R
0,C,73.0,192.7,6.97,78.0,2.0,Midwest,96.4,R,L
0,C,72.0,190.7,7.21,79.0,2.0,West,93.6,R,R
0,C,72.0,185.0,7.84,69.0,2.1,South,78.0,R,R
1,C,72.0,185.0,7.21,78.0,2.0,South,100.0,R,R
0,C,71.0,175.0,7.52,73.0,2.0,Midwest,90.1,R,R
0,C,74.0,190.0,7.35,78.0,1.9,Northeast,92.4,R,R
1,C,70.0,214.0,7.2,82.0,1.9,West,98.3,R,R
0,C,71.0,182.0,7.14,78.0,1.9,Midwest,95.6,R,L
0,C,71.0,190.0,7.59,76.0,2.0,Northeast,94.8,R,R
