d1_or_not,primary_position,height,weight,sixty_time,of_velo,player_region,exit_velo_max,throwing_hand,hitting_handedness
1,OF,71.0,180.0,7.61,,Northeast,90.3,R,L
0,OF,72.0,175.0,7.49,82.0,South,84.1,R,R
0,OF,73.0,190.0,6.860504150390625,,South,94.84060668945312,R,L
0,OF,70.0,180.0,6.76,73.0,West,87.0,R,R
0,OF,75.0,210.0,6.53,84.0,Midwest,99.0,R,L
0,OF,71.0,190.0,7.741915225982666,,Midwest,88.69032287597656,R,R
0,OF,74.0,184.0,6.66,91.0,South,94.2,R,R
0,OF,72.0,150.0,7.37,81.0,Midwest,82.0,R,R
0,OF,72.0,155.0,7.62,78.0,Midwest,86.8,R,R
1,OF,74.0,195.0,7.02,89.0,South,103.7,R,R
0,OF,72.0,195.0,7.26,93.0,South,92.5,L,R
0,OF,70.0,175.0,6.7,81.0,Northeast,90.9,R,S
0,OF,74.0,215.0,7.27,83.0,South,99.6,L,R
1,OF,72.0,195.0,6.8,88.0,South,100.1,L,R
0,OF,72.0,200.0,7.47,71.0,Northeast,89.2,L,L
1,OF,68.0,180.0,6.51,84.0,Northeast,93.9,L,L
0,OF,70.0,180.0,7.49,86.0,Midwest,90.4,R,R
0,OF,71.0,192.0,7.16,82.0,Northeast,95.3,L,R
0,OF,75.0,195.0,7.3,78.0,Midwest,86.7,L,L
1,OF,73.0,170.0,7.357440948486328,,South,94.9656219482422,R,R
0,OF,71.0,185.0,7.19,80.0,Northeast,82.0,R,R
1,OF,70.0,128.0,7.512630939483643,,South,87.85173797607422,R,R
0,OF,69.0,150.0,7.18,86.0,West,83.6,R,S
0,OF,72.0,170.0,7.0971903800964355,,Midwest,94.3105926513672,R,L
1,OF,78.0,225.0,6.977910041809082,,South,92.33843231201172,R,R
0,OF,68.0,150.6,7.02,77.0,South,91.5,R,R
0,OF,69.0,145.0,7.41,66.0,Northeast,81.8,R,R
0,OF,70.0,145.0,7.03,84.0,Midwest,86.8,R,L
1,OF,72.0,170.0,7.173285007476807,,Midwest,91.5684051513672,R,R
0,OF,70.0,190.0,7.190341472625732,,Midwest,94.44189453125,R,R
0,OF,73.0,190.0,6.88,90.0,South,92.3,R,R
0,OF,76.0,205.0,7.69,80.0,Midwest,91.5,R,R
0,OF,74.0,170.0,6.68,73.0,South,85.8,R,R
0,OF,71.0,175.0,6.77,76.0,Midwest,94.6,R,R
1,OF,73.0,175.0,7.003426551818848,,South,98.23867797851562,R,R
0,OF,75.0,194.0,7.05,87.0,Midwest,91.8,R,R
1,OF,72.0,170.0,6.88,84.0,West,84.0,R,R
0,OF,73.0,140.0,7.179488658905029,,Midwest,93.91097259521484,R,R
0,OF,70.0,175.0,6.84,89.0,Midwest,97.6,L,L
0,OF,70.0,170.0,7.0,87.0,West,92.5,L,L
0,OF,70.0,148.0,7.42,86.0,South,86.2,R,R
0,OF,75.0,187.0,7.277014255523682,,South,90.68209075927734,L,L
0,OF,72.0,160.0,7.2,77.0,West,89.2,R,R
0,OF,73.0,172.2,6.96,89.0,West,88.2,R,R
1,OF,72.0,185.0,6.97777795791626,,South,93.1316375732422,L,L
1,OF,76.0,195.0,6.65,80.0,Northeast,93.4,R,R
0,OF,69.0,155.0,6.48,84.0,Northeast,90.3,R,R
0,OF,71.0,165.0,6.93,85.0,Midwest,86.0,R,L
0,OF,74.0,195.0,6.99,87.0,Midwest,94.5,L,L
0,OF,70.0,157.0,6.75,75.0,Midwest,80.0,R,R
0,OF,67.0,115.0,7.55,79.0,South,79.0,R,R
0,OF,73.0,175.0,7.244779109954834,,Midwest,95.10829162597656,R,R
0,OF,73.0,225.0,7.08,,Northeast,101.8,R,R
0,OF,75.0,200.0,7.05,85.0,Northeast,93.7,R,R
0,OF,66.0,139.0,6.9,87.0,South,88.5,R,R
0,OF,69.0,160.0,6.4394612312316895,,West,88.8062973022461,R,R
0,OF,70.0,180.0,6.99,77.0,West,88.8,R,R
0,OF,72.0,165.0,7.1,80.0,West,78.0,R,R
0,OF,72.0,180.0,7.59,84.0,Northeast,97.5,R,R
0,OF,70.0,185.0,7.15,75.0,West,89.1,L,L
0,OF,75.0,165.0,7.0,84.0,Northeast,88.8,R,R
1,OF,73.0,185.0,7.049838542938232,,South,90.95308685302734,L,L
1,OF,72.0,193.0,7.18,87.0,South,101.0,L,L
1,OF,72.0,198.0,6.881295204162598,,South,92.55081939697266,R,L
0,OF,75.0,165.0,7.3,78.0,West,86.9,R,S
0,OF,70.0,160.0,7.8,71.0,West,85.9,L,L
0,OF,73.0,180.0,7.56,68.0,South,88.1,R,R
0,OF,68.0,170.0,7.2,80.0,Midwest,90.8,R,R
0,OF,68.0,170.0,7.22,70.0,South,79.2,R,R
0,OF,66.0,134.0,7.109442710876465,,South,92.90347290039062,L,L
1,OF,77.0,220.0,7.0984625816345215,,West,96.56044006347656,R,R
0,OF,71.0,164.7,6.7,89.0,Northeast,94.5,L,R
1,OF,70.0,155.0,6.5,79.0,Northeast,91.9,L,R
0,OF,67.0,155.0,7.04,77.0,Northeast,82.9,R,R
0,OF,67.0,170.0,7.78,74.0,Northeast,85.6,L,L
1,OF,75.0,160.0,6.89,,South,95.0,R,R
1,OF,71.0,170.0,6.93,84.0,South,83.0,R,R
0,OF,74.0,175.0,7.671504974365234,,Northeast,88.10572814941406,R,L
0,OF,75.0,190.0,7.29,,West,95.0,R,R
0,OF,73.0,180.0,7.15,89.0,Northeast,95.9,R,R
1,OF,75.0,190.0,6.85,90.0,South,95.3,R,L
0,OF,69.0,155.0,6.79,86.0,South,84.3,R,R
0,OF,73.0,194.0,7.19,82.0,West,102.3,R,R
0,OF,69.0,165.0,7.73,77.0,Midwest,85.1,R,R
0,OF,70.0,155.0,7.27,80.0,Northeast,90.1,R,L
0,OF,70.0,165.0,7.262303829193115,80.0,South,88.0,R,R
1,OF,71.0,171.0,8.01,88.0,West,84.0,R,R
0,OF,73.0,155.0,7.29,86.0,West,86.9,R,R
1,OF,69.0,160.0,6.75,89.0,West,95.4,L,L
0,OF,75.0,197.0,6.82,93.0,Midwest,104.8,R,L
0,OF,70.0,175.0,7.325167179107666,,Midwest,89.8712158203125,R,R
0,OF,72.0,160.0,7.46,77.0,Northeast,85.4,R,R
1,OF,73.0,170.0,6.89,90.0,South,93.2,R,R
0,OF,70.0,125.0,6.984561443328857,,Midwest,94.9201431274414,L,L
1,OF,73.0,195.0,6.8,84.0,South,94.7,R,R
0,OF,75.0,190.0,6.94,,South,101.5,L,L
1,OF,75.0,190.0,7.01,83.0,South,96.1,R,R
1,OF,74.0,185.0,7.360090255737305,,South,92.07456970214844,R,R
0,OF,69.0,165.0,6.81,84.0,Midwest,92.0,R,R
0,OF,76.0,175.0,7.18,88.0,Northeast,96.1,R,R
0,OF,71.0,165.0,6.83,81.0,South,95.9,R,L
0,OF,75.0,180.0,7.505568027496338,,South,86.99444580078125,R,R
0,OF,72.0,195.0,7.7,82.0,South,91.9,R,R
1,OF,70.0,180.0,6.85,,South,96.4,R,R
1,OF,70.0,185.0,7.31,83.0,West,92.5,R,R
0,OF,71.0,175.0,6.927462100982666,,Northeast,93.75141143798828,R,L
0,OF,70.0,150.0,7.162522315979004,,Midwest,87.33319854736328,R,L
0,OF,72.0,190.0,7.49,,Midwest,87.7,R,R
0,OF,69.0,160.0,7.050980091094971,,South,86.7962646484375,L,L
0,OF,65.0,155.6,7.62,80.0,South,91.4,L,L
0,OF,71.0,165.0,7.731313228607178,69.0,Midwest,69.0,R,R
0,OF,71.0,165.0,7.102547645568848,,Midwest,92.3128662109375,R,R
0,OF,68.0,135.0,7.91,64.0,West,81.2,R,R
1,OF,65.0,132.0,7.623701572418213,,Midwest,82.88663482666016,L,L
1,OF,72.0,160.0,6.89,89.0,South,91.0,L,L
0,OF,76.0,215.0,6.99,88.0,Northeast,103.0,L,L
0,OF,74.0,200.0,6.71,83.0,West,101.3,R,R
0,OF,74.0,205.0,7.050806999206543,,Midwest,93.23979949951172,R,R
0,OF,74.0,200.0,6.74,86.0,Midwest,95.5,R,R
1,OF,73.0,150.0,6.73,90.0,South,90.1,R,R
0,OF,70.0,165.0,7.33,76.0,Midwest,90.4,R,R
0,OF,75.0,175.0,7.29,88.0,Midwest,91.6,R,R
1,OF,75.0,205.0,6.66,91.0,Midwest,101.7,L,L
0,OF,69.0,175.0,7.28,83.0,Northeast,98.6,R,L
0,OF,70.0,160.0,7.18,82.0,Midwest,88.9,R,R
0,OF,72.0,183.2,7.36,83.0,Midwest,92.9,L,L
1,OF,73.0,185.0,6.87,79.0,Midwest,92.8,R,L
0,OF,70.0,175.0,6.92,92.0,Midwest,92.0,R,R
0,OF,68.0,130.0,7.254246234893799,,South,91.25143432617188,L,L
0,OF,71.0,160.0,7.69,79.0,Northeast,84.5,R,L
1,OF,72.0,176.0,7.270473003387451,,West,95.02640533447266,R,R
1,OF,74.0,195.0,7.05,90.0,Northeast,100.6,R,L
0,OF,72.0,185.0,7.02,83.0,Northeast,94.8,R,R
1,OF,70.0,185.0,7.2,81.0,Northeast,93.5,R,L
0,OF,72.0,135.0,7.23185920715332,,West,94.38553619384766,R,R
0,OF,71.0,170.0,6.850413799285889,,Midwest,91.91204071044922,R,R
1,OF,70.0,180.0,6.65,81.0,Northeast,94.7,L,R
1,OF,70.0,170.0,6.68,84.0,Midwest,92.7,L,L
0,OF,72.0,200.0,7.57,85.0,Midwest,92.6,R,R
0,OF,70.0,170.0,7.15,85.0,Northeast,90.1,R,R
0,OF,72.0,140.0,7.7,76.0,Midwest,84.4,R,R
0,OF,72.0,180.0,7.31,85.0,Midwest,93.3,R,R
1,OF,75.0,190.0,7.12,83.0,South,99.2,L,L
0,OF,70.0,180.0,6.900406360626221,,South,93.5,R,R
0,OF,74.0,160.0,6.84,86.0,Northeast,90.1,R,L
0,OF,73.0,196.0,7.44,81.0,West,99.2,R,L
0,OF,71.0,205.0,7.48,81.0,Midwest,96.7,R,L
0,OF,70.0,190.0,6.95,81.0,Midwest,96.6,R,R
0,OF,71.0,140.0,7.43,80.0,Midwest,88.4,R,R
