p4_or_not,primary_position,height,weight,sixty_time,of_velo,player_region,exit_velo_max,throwing_hand,hitting_handedness
1,OF,71.0,180.0,7.61,,Northeast,90.3,R,L
0,OF,74.0,195.0,7.02,89.0,South,103.7,R,R
0,OF,72.0,195.0,6.8,88.0,South,100.1,L,R
0,OF,68.0,180.0,6.51,84.0,Northeast,93.9,L,L
0,OF,73.0,170.0,7.357440948486328,,South,94.9656219482422,R,R
0,OF,70.0,128.0,7.512630939483643,,South,87.85173797607422,R,R
0,OF,78.0,225.0,6.977910041809082,,South,92.33843231201172,R,R
0,OF,72.0,170.0,7.173285007476807,,Midwest,91.5684051513672,R,R
0,OF,73.0,175.0,7.003426551818848,,South,98.23867797851562,R,R
1,OF,72.0,170.0,6.88,84.0,West,84.0,R,R
0,OF,72.0,185.0,6.97777795791626,,South,93.1316375732422,L,L
0,OF,76.0,195.0,6.65,80.0,Northeast,93.4,R,R
0,OF,73.0,185.0,7.049838542938232,,South,90.95308685302734,L,L
1,OF,72.0,193.0,7.18,87.0,South,101.0,L,L
0,OF,72.0,198.0,6.881295204162598,,South,92.55081939697266,R,L
0,OF,77.0,220.0,7.0984625816345215,,West,96.56044006347656,R,R
0,OF,70.0,155.0,6.5,79.0,Northeast,91.9,L,R
1,OF,75.0,160.0,6.89,,South,95.0,R,R
0,OF,71.0,170.0,6.93,84.0,South,83.0,R,R
1,OF,75.0,190.0,6.85,90.0,South,95.3,R,L
0,OF,71.0,171.0,8.01,88.0,West,84.0,R,R
0,OF,69.0,160.0,6.75,89.0,West,95.4,L,L
0,OF,73.0,170.0,6.89,90.0,South,93.2,R,R
0,OF,73.0,195.0,6.8,84.0,South,94.7,R,R
1,OF,75.0,190.0,7.01,83.0,South,96.1,R,R
0,OF,74.0,185.0,7.360090255737305,,South,92.07456970214844,R,R
0,OF,70.0,180.0,6.85,,South,96.4,R,R
0,OF,70.0,185.0,7.31,83.0,West,92.5,R,R
0,OF,65.0,132.0,7.623701572418213,,Midwest,82.88663482666016,L,L
1,OF,72.0,160.0,6.89,89.0,South,91.0,L,L
0,OF,73.0,150.0,6.73,90.0,South,90.1,R,R
1,OF,75.0,205.0,6.66,91.0,Midwest,101.7,L,L
0,OF,73.0,185.0,6.87,79.0,Midwest,92.8,R,L
0,OF,72.0,176.0,7.270473003387451,,West,95.02640533447266,R,R
0,OF,74.0,195.0,7.05,90.0,Northeast,100.6,R,L
0,OF,70.0,185.0,7.2,81.0,Northeast,93.5,R,L
0,OF,70.0,180.0,6.65,81.0,Northeast,94.7,L,R
0,OF,70.0,170.0,6.68,84.0,Midwest,92.7,L,L
1,OF,75.0,190.0,7.12,83.0,South,99.2,L,L
0,OF,72.0,175.0,7.23,85.0,West,95.0,R,R
1,OF,72.0,170.0,6.51,85.0,Midwest,98.6,R,L
