iter	Passed	Remaining
0	1	255
1	2	245
2	4	284
3	5	275
4	6	259
5	8	275
6	9	261
7	10	244
8	10	230
9	16	312
10	17	302
11	19	301
12	20	288
13	21	279
14	21	268
15	22	262
16	23	252
17	24	246
18	25	242
19	26	235
20	27	231
21	28	226
22	29	227
23	30	225
24	31	219
25	32	215
26	32	211
27	33	207
28	34	205
29	35	202
30	36	198
31	37	199
32	38	196
33	39	194
34	40	192
35	41	190
36	42	187
37	43	186
38	44	184
39	45	183
40	47	184
41	48	183
42	49	180
43	50	178
44	51	177
45	52	175
46	53	173
47	54	171
48	55	170
49	55	167
50	56	165
51	57	162
52	58	161
53	59	160
54	60	158
55	60	156
56	61	154
57	62	152
58	63	151
59	64	150
60	65	148
61	65	146
62	66	144
63	67	143
64	68	141
65	69	141
66	70	140
67	71	139
68	72	138
69	73	137
70	74	135
71	75	134
72	78	136
73	79	135
74	80	134
75	82	134
76	84	134
77	85	133
78	86	132
79	87	130
80	87	129
81	88	127
82	89	126
83	90	125
84	91	123
85	92	122
86	93	121
87	94	120
88	95	118
89	96	117
90	97	116
91	99	116
92	100	115
93	101	113
94	102	113
95	103	111
96	104	110
97	105	109
98	106	108
99	107	107
100	108	106
101	109	105
102	110	103
103	111	102
104	112	101
105	113	100
106	114	99
107	114	97
108	116	97
109	117	96
110	118	94
111	119	93
112	120	92
113	121	91
114	122	90
115	123	89
116	124	88
117	125	87
118	126	86
119	127	84
120	128	83
121	128	82
122	129	81
123	130	79
124	131	78
125	131	77
126	132	76
127	134	75
128	134	74
129	135	73
130	137	72
131	138	71
132	138	69
133	139	68
134	140	67
135	141	66
136	142	65
137	144	64
138	145	63
139	147	63
140	148	61
141	149	60
142	149	59
143	151	58
144	151	57
145	152	56
146	156	56
147	157	55
148	158	54
149	159	53
150	160	52
151	161	50
152	162	49
153	164	49
154	165	48
155	166	46
156	167	45
157	168	44
158	169	43
159	170	42
160	171	41
161	171	40
162	172	39
163	173	38
164	174	37
165	175	35
166	176	34
167	177	33
168	178	32
169	179	31
170	180	30
171	181	29
172	182	28
173	183	27
174	183	26
175	185	25
176	186	24
177	187	23
178	188	22
179	188	20
180	189	19
181	190	18
182	191	17
183	192	16
184	193	15
185	194	14
186	196	13
187	196	12
188	197	11
189	198	10
190	199	9
191	200	8
192	201	7
193	203	6
194	205	5
195	207	4
196	209	3
197	210	2
198	220	1
199	221	0
